start_station_id,time_hour,start_lat,start_lng,start_borough,start_mode_landuse,temperature_2m_C,precipitation_mm,wind_speed_10m_kmh,hex_mta_entries,hex_mta_exits,predicted_gap
3633.08,2025-12-31 08:00:00,40.660500000000006,-73.96259999999998,BK,01,-2.3999999999999995,0.0,19.199999999999996,0.0,0.0,6.464271
3648.08,2025-12-31 08:00:00,40.66219,-73.94293,BK,01,-2.4,0.0,19.2,0.0,0.0,5.8913918
3651.04,2025-12-31 08:00:00,40.66106337190059,-73.97945255041122,BK,01,-2.4000000000000017,0.0,19.200000000000014,0.0,0.0,8.321386
3660.07,2025-12-31 08:00:00,40.66093779493168,-73.98680448532104,BK,01,-2.3999999999999995,0.0,19.199999999999996,0.0,0.0,7.268155
3668.04,2025-12-31 08:00:00,40.662584,-73.99555399999998,BK,01,-2.4,0.0,19.2,0.0,0.0,6.605423
3688.06,2025-12-31 08:00:00,40.66256399999999,-73.945565,BK,01,-2.3999999999999995,0.0,19.199999999999996,0.0,0.0,4.7464437
3699.07,2025-12-31 08:00:00,40.66349300000001,-73.991007,BK,01,-2.3999999999999995,0.0,19.199999999999996,0.0,0.0,6.9368954
3719.02,2025-12-31 08:00:00,40.66288000000001,-73.94019000000002,BK,01,-2.4,0.0,19.2,0.0,0.0,3.4555206
3722.04,2025-12-31 08:00:00,40.66514681533794,-73.97637605667114,BK,01,-2.4000000000000012,0.0,19.20000000000001,0.0,0.0,7.5942006
3731.11,2025-12-31 08:00:00,40.663778999999984,-73.98396845999996,BK,01,-2.3999999999999995,0.0,19.199999999999996,0.0,0.0,6.543272
3736.03,2025-12-31 08:00:00,40.665816,-73.95693400000002,BK,01,-2.3999999999999995,0.0,19.199999999999996,0.0,0.0,5.105688
3739.06,2025-12-31 08:00:00,40.66550700000002,-73.99303699999997,BK,01,-2.399999999999999,0.0,19.199999999999992,0.0,0.0,6.269563
3751.05,2025-12-31 08:00:00,40.66559,-73.93711999999998,BK,01,-2.4,0.0,19.2,0.0,0.0,5.3105845
3762.08,2025-12-31 08:00:00,40.66620779999999,-73.98199886000008,BK,01,-2.4000000000000017,0.0,19.200000000000014,0.0,0.0,8.847454
3768.02,2025-12-31 08:00:00,40.66638999999999,-73.95345999999999,BK,01,-2.3999999999999995,0.0,19.199999999999996,0.0,0.0,5.8517895
3771.06,2025-12-31 08:00:00,40.666287000000004,-73.98895052999997,BK,01,-2.4000000000000004,0.0,19.200000000000003,0.0,0.0,3.9634218
3776.05,2025-12-31 08:00:00,40.666439306870814,-73.9605563879013,BK,01,-2.3999999999999995,0.0,19.199999999999996,0.0,0.0,6.5863996
3776.10,2025-12-31 08:00:00,40.664323315774695,-73.95921791486467,BK,01,-2.3999999999999995,0.0,19.199999999999996,0.0,0.0,3.7297096
3779.02,2025-12-31 08:00:00,40.666168000000006,-73.995549,BK,01,-2.4,0.0,19.2,0.0,0.0,6.041482
3791.02,2025-12-31 08:00:00,40.6667,-73.93972,BK,01,-2.3999999999999995,0.0,19.199999999999996,0.0,0.0,5.790498
3803.05,2025-12-31 08:00:00,40.666318100000005,-73.9854617,BK,01,-2.3999999999999995,0.0,19.199999999999996,0.0,0.0,5.974095
3803.09,2025-12-31 08:00:00,40.66812699999995,-73.98377640999998,BK,01,-2.4000000000000035,0.0,19.200000000000028,0.0,0.0,10.593949
3811.05,2025-12-31 08:00:00,40.666197000000004,-73.992466,BK,01,-2.4,0.0,19.2,0.0,0.0,4.8358727
3831.03,2025-12-31 08:00:00,40.66688,-73.9425,BK,01,-2.4,0.0,19.2,0.0,0.0,5.721563
3834.10,2025-12-31 08:00:00,40.668662699999956,-73.97988067000004,BK,01,-2.400000000000003,0.0,19.200000000000024,0.0,0.0,8.87642
3842.08,2025-12-31 08:00:00,40.66862730000002,-73.98700052999997,BK,01,-2.400000000000001,0.0,19.200000000000006,0.0,0.0,4.258627
3847.04,2025-12-31 08:00:00,40.6679411,-73.9588,BK,01,-2.3999999999999995,0.0,19.199999999999996,0.0,0.0,5.207137
3853.02,2025-12-31 08:00:00,40.66846,-73.9282,BK,02,-2.4,0.0,19.2,0.0,0.0,5.9756165
3856.03,2025-12-31 08:00:00,40.66875700000001,-73.96643800000001,BK,02,-2.3999999999999995,0.0,19.199999999999996,0.0,0.0,6.452553
3862.07,2025-12-31 08:00:00,40.669290000000004,-73.93678999999999,BK,01,-2.3999999999999995,0.0,19.199999999999996,0.0,0.0,5.899002
3865.05,2025-12-31 08:00:00,40.66813200000001,-73.97363831000003,BK,01,-2.399999999999999,0.0,19.199999999999992,0.0,0.0,9.152615
3874.01,2025-12-31 08:00:00,40.67048359999994,-73.98208968000007,BK,01,-2.400000000000003,0.0,19.200000000000024,0.0,0.0,7.090745
3885.06,2025-12-31 08:00:00,40.67015,-73.92538,BK,02,-2.4,0.0,19.2,0.0,0.0,6.0689425
3893.03,2025-12-31 08:00:00,40.668760000000006,-73.93376,BK,01,-2.3999999999999995,0.0,19.199999999999996,0.0,0.0,5.7019033
3902.06,2025-12-31 08:00:00,40.66958999999998,-73.94237000000003,BK,01,-2.4000000000000004,0.0,19.200000000000003,0.0,0.0,7.068809
3905.15,2025-12-31 08:00:00,40.6703837,-73.97839676000001,BK,02,-2.4000000000000017,0.0,19.200000000000014,0.0,0.0,10.711257
